		--- STARS OF CATALOGUE ---
? And,2942,5034,0.000000,0.162986,0.617838
Eps And,3031,5075,0.000000,0.168233,0.511587
? Cas,3083,3589,0.000000,0.170889,0.861400
Del And,3092,4179,0.000000,0.171600,0.538626
? Psc,3093,5134,0.000000,0.171757,0.370891
? Phe,3137,4425,0.000000,0.173947,-0.781843
? Psc,3138,4388,0.000000,0.174211,0.374172
? Tuc,3170,6112,0.000000,0.176363,-1.037679
Shedir,3179,4368,0.000000,0.176745,0.986763
? Cet,3193,4534,0.000000,0.177614,-0.075954
? And,3231,5020,0.000000,0.179419,0.688684
Mu Phe,3245,4858,0.000000,0.180319,-0.804335
Xi Phe,3277,8738,0.000000,0.182267,-0.986134
? Cas,3299,4644,0.000000,0.183509,1.154493
Xi Cas,3300,11657,0.000000,0.183543,0.881610
Rho Tuc,3330,6321,0.000000,0.185320,-1.142633
? Tuc,3352,4089,0.000000,0.186299,-1.051784
Eta Phe,3405,9835,0.000000,0.189168,-1.002920
Pi Cas,3414,8402,0.000000,0.189665,0.820733
Diphda,3419,4697,0.000000,0.190195,-0.313925
Phi-1 Cet,3455,4747,0.000000,0.192815,-0.185172
Lam-2 Scl,3456,4421,0.000000,0.192863,-0.670585
? Cas,3478,11796,0.000000,0.193892,0.835384
Omi Cas,3504,11076,0.000000,0.195151,0.842721
? Cet,3505,7158,0.000000,0.195215,-0.384080
? Phe,3521,7480,0.000000,0.196137,-0.744846
? Cas,3544,9858,0.000000,0.197599,0.963795
? Cas,3572,9245,0.000000,0.199193,1.308789
? Phe,3583,5833,0.000000,0.199661,-0.829939
? Cet,3607,4796,0.000000,0.201567,-0.393085
? Psc,3632,3706,0.000000,0.203110,0.270099
? Psc,3675,4774,0.000000,0.205182,0.208983
Zet And,3693,4514,0.000000,0.206555,0.423542
? Psc,3697,4889,0.000000,0.206795,0.117652
? Cet,3717,4121,0.000000,0.208219,-0.315230
? Cas,3721,11030,0.000000,0.208423,1.306337
? Cet,3741,10911,0.000000,0.209517,-0.379129
? Cas,3750,4718,0.000000,0.210091,1.268409
? Psc,3760,4506,0.000000,0.210706,0.127408
96 G. Psc,3765,5023,0.000000,0.211110,0.092164
Lam Hyi,3781,4042,0.000000,0.211999,-1.307661
Del Psc,3786,3793,0.000000,0.212417,0.132385
Nu Cas,3801,11423,0.000000,0.213076,0.889562
? Psc,3810,6379,0.000000,0.213709,0.295670
Eta Cas,3821,6018,0.000000,0.214220,1.009065
? Cet,3834,4881,0.000000,0.214817,-0.421264
? Cet,3849,4077,0.000000,0.215666,-0.236689
Nu And,3881,12216,0.000000,0.217355,0.716962
? Psc,3885,6890,0.000000,0.217669,0.483636
Phi-2 Cet,3909,6326,0.000000,0.218718,-0.185779
Rho Phe,3949,7123,0.000000,0.221160,-0.889888
? Cas,3951,6264,0.000000,0.221336,1.121331
? Cet,4104,4166,0.000000,0.229847,-0.418981
? Cet,4147,3719,0.000000,0.231292,-0.019971
? Cas,4151,6212,0.000000,0.231564,1.066815
? Tuc,4200,3685,0.000000,0.234007,-1.097312
? Psc,4267,10329,0.000000,0.238181,0.334901
? Cep,4283,8979,0.000000,0.239459,1.460970
? And,4288,4714,0.000000,0.239845,0.412392
Ups-1 Cas,4292,4277,0.000000,0.239995,1.029268
Lam-2 Tuc,4293,4525,0.000000,0.240005,-1.213477
? Cet,4346,3763,0.000000,0.243066,-0.128232
Phi-3 Cet,4371,3786,0.000000,0.244454,-0.196638
Ups-2 Cas,4422,4848,0.000000,0.247252,1.032904
Cih,4427,10737,0.000000,0.247438,1.059707
Mu And,4436,8747,0.000000,0.247632,0.671940
? Cas,4440,10852,0.000000,0.247761,1.053530
Eta And,4463,4891,0.000000,0.249611,0.408715
? Psc,4510,4567,0.000000,0.252357,0.506010
? And,4552,4742,0.000000,0.254106,0.592555
? Cas,4572,10226,0.000000,0.255329,1.158057
Alp Scl,4577,12568,0.000000,0.255717,-0.512384
Phi-4 Cet,4587,4868,0.000000,0.256263,-0.198618
? And,4675,10251,0.000000,0.262058,0.780393
Xi Scl,4770,4338,0.000000,0.267491,-0.679222
Sig Scl,4852,9195,0.000000,0.272448,-0.550686
Sig Psc,4889,10695,0.000000,0.274096,0.555089
? Phe,4890,4996,0.000000,0.274103,-0.809786
? And,4903,8477,0.000000,0.274472,0.721609
Eps Psc,4906,4861,0.000000,0.274643,0.137709
? Cet,4914,4501,0.000000,0.275074,-0.084415
? Cas,4962,6334,0.000000,0.277581,1.065957
? Cas,4998,3875,0.000000,0.279426,0.916336
? Cas,5021,6091,0.000000,0.280671,1.074777
? Psc,5081,6775,0.000000,0.284005,0.260859
Psi-1 Psc,5131,10087,0.000000,0.286594,0.374778
Psi-1 Psc,5132,10766,0.000000,0.286649,0.374643
Bet Phe,5165,5036,0.000000,0.288348,-0.815390
? Cet,5164,10014,0.000000,0.288354,-0.171729
Iot Tuc,5268,5039,0.000000,0.293696,-1.078182
? Cet,5296,6644,0.000000,0.295703,-0.170790
Ups Phe,5300,8494,0.000000,0.295822,-0.724083
Psi-2 Psc,5310,8829,0.000000,0.296499,0.361966
? And,5317,8941,0.000000,0.296765,0.766934
Mu Cas,5336,5588,0.000000,0.297791,0.958541
? Psc,5346,7252,0.000000,0.298320,0.098608
Zet Phe,5348,11920,0.000000,0.298384,-0.964220
? Cas,5361,10368,0.000000,0.299139,1.016889
Eta Cet,5364,4386,0.000000,0.299280,-0.177714
? Cep,5372,4283,0.000000,0.299921,1.505470
Phi And,5434,9977,0.000000,0.303260,0.824525
Mirach,5447,3682,0.000000,0.304262,0.621696
Psi-3 Psc,5454,5611,0.000000,0.304647,0.343104
? And,5493,5955,0.000000,0.306797,0.734460
? Psc,5494,3845,0.000000,0.306847,0.444322
? Cet,5510,3807,0.000000,0.307873,0.042685
? Cas,5518,10303,0.000000,0.308290,1.200413
The Cas,5542,8402,0.000000,0.310237,0.962547
? Psc,5544,7719,0.000000,0.310288,0.548465
? And,5550,11489,0.000000,0.310544,0.658410
? Cas,5566,10823,0.000000,0.311653,1.120548
Chi Psc,5571,4685,0.000000,0.311775,0.367124
Tau Psc,5586,4532,0.000000,0.312678,0.525163
? Cas,5589,11122,0.000000,0.312805,1.134793
? Cet,5594,3945,0.000000,0.312960,-0.039289
? Cep,5626,10026,0.000000,0.315364,1.390573
? Scl,5661,7584,0.000000,0.317462,-0.660720
Zet Psc,5737,7337,0.000000,0.321714,0.132215
Phi Psc,5742,4632,0.000000,0.321791,0.429067
? Psc,5778,11278,0.000000,0.323441,0.281582
? Cet,5799,6634,0.000000,0.324634,-0.138279
? Cet,5833,6734,0.000000,0.326462,-0.016996
Nu Phe,5862,6083,0.000000,0.328046,-0.794677
Kap Tuc,5896,6481,0.000000,0.330575,-1.202112
? Cas,5926,3126,0.000000,0.332478,1.252166
? Cet,5951,5028,0.000000,0.334251,-0.043640
? Psc,6061,9317,0.000000,0.339463,0.063084
Ups Psc,6193,9742,0.000000,0.346738,0.475848
? Cet,6226,5833,0.000000,0.348215,-0.008884
Phi Cas,6242,5660,0.000000,0.349423,1.016333
? Psc,6315,3956,0.000000,0.353965,0.501576
Xi And,6411,4565,0.000000,0.359277,0.794627
? Psc,6492,3545,0.000000,0.363970,0.357251
? Scl,6502,3632,0.000000,0.364407,-0.540103
? And,6514,7617,0.000000,0.365109,0.658250
The Cet,6537,4591,0.000000,0.366621,-0.142825
? Cet,6564,6843,0.000000,0.368010,-0.120684
? Phe,6592,4671,0.000000,0.369485,-0.724182
? Hyi,6631,3704,0.000000,0.371267,-1.123459
? Cet,6670,4248,0.000000,0.373590,-0.254797
Ruchbah,6686,8486,0.000000,0.374430,1.051304
Psi Cas,6692,4632,0.000000,0.374951,1.189093
Rho Psc,6706,6906,0.000000,0.376356,0.334621
? And,6711,6299,0.000000,0.376603,0.758481
? Psc,6732,4501,0.000000,0.378277,0.335809
? Cet,6748,7330,0.000000,0.378996,-0.227879
Ome And,6813,6770,0.000000,0.382467,0.792496
Gam Phe,6867,3731,0.000000,0.385567,-0.756046
? Cet,6960,9788,0.000000,0.390963,-0.377503
? And,6999,4745,0.000000,0.393143,0.820432
Mu Psc,7007,3996,0.000000,0.393507,0.107230
? Scl,7016,4073,0.000000,0.394365,-0.457413
? Cas,7078,6439,0.000000,0.398051,1.226349
Del Phe,7083,4810,0.000000,0.398158,-0.856480
Eta Psc,7097,4806,0.000000,0.399172,0.267835
? Scl,7118,4574,0.000000,0.400208,-0.528539
? Scl,7213,4692,0.000000,0.405502,-0.643420
? Cas,7251,3893,0.000000,0.407659,1.018004
? Cet,7276,5818,0.000000,0.408904,-0.122615
Chi Cas,7294,4764,0.000000,0.409854,1.033794
? And,7321,11046,0.000000,0.411360,0.649911
? Cet,7345,9370,0.000000,0.412900,-0.273604
? Psc,7359,3740,0.000000,0.413720,0.322197
? Psc,7447,7732,0.000000,0.418497,0.304278
? Cet,7450,4258,0.000000,0.418804,-0.268784
Tau Scl,7463,7246,0.000000,0.419497,-0.521981
Ups And,7513,6229,0.000000,0.422361,0.722662
Pi Psc,7535,7175,0.000000,0.423673,0.211910
? Oct,7568,4894,0.000000,0.425264,-1.479509
Achernar,7588,12650,0.000000,0.426355,-0.998970
? Oct,7601,5890,0.000000,0.427246,-1.448187
? And,7607,4166,0.000000,0.427572,0.848722
? Cas,7617,3970,0.000000,0.428156,1.011901
? Scl,7643,4637,0.000000,0.429605,-0.637538
? Cas,7650,4810,0.000000,0.429855,1.274789
? Cet,7679,7181,0.000000,0.431371,-0.371326
Chi And,7719,5042,0.000000,0.433497,0.774685
? Psc,7740,4474,0.000000,0.434937,0.286336
? Eri,7751,5050,0.000000,0.435417,-0.980812
Tau And,7818,11061,0.000000,0.438864,0.708203
? And,7825,8056,0.000000,0.439214,0.755687
Nu Psc,7884,4039,0.000000,0.442579,0.095777
? Tri,7906,4707,0.000000,0.443549,0.524421
? Cet,7916,6659,0.000000,0.443956,-0.197653
? And,7918,5897,0.000000,0.444112,0.743744
? Hyi,7921,4186,0.000000,0.444183,-1.060974
? Scl,7941,10251,0.000000,0.445277,-0.642845
? Tri,7943,10926,0.000000,0.445312,0.615154
Pi Scl,7955,4639,0.000000,0.445685,-0.564212
? Cas,7965,10780,0.000000,0.446548,1.187575
? Eri,7978,6166,0.000000,0.447186,-0.937954
? Psc,7981,5174,0.000000,0.447224,0.353752
? Cet,7999,3986,0.000000,0.448223,-0.064406
? Cas,8016,10408,0.000000,0.449115,1.232596
? Cas,8046,10251,0.000000,0.450858,1.056820
